,id,player_name,country,base_price,type,final_price,team_id
242,243,kshitiz sharma,India,20,all,,
243,244,shubham singh,India,20,all,,
244,245,shashank singh,India,20,all,,
245,246,milind tandon,India,20,all,,
246,247,ravi bopara,England,50,all,,
247,248,george linde,South Africa,50,all,0,0
248,249,kyle mayers,West Indies,50,all,,
249,250,daryl mitchell,New Zealand,50,all,,
250,251,colin munro,New Zealand,50,all,,
251,252,dwaine pretorius,South Africa,50,all,,
252,253,romario shepherd,West Indies,50,all,,
253,254,sandeep bavanaka,India,20,all,,
254,255,chaitanya bishnoi,India,20,all,0,0
255,256,arun chaprana,India,20,all,,
256,257,yudhvir charak,India,20,all,20,5
257,258,ajay dev goud,India,20,all,0,0
258,259,umran malik,India,20,all,,
259,260,ravi teja telukupalli,India,20,all,,
260,261,tanay thyagarajan,India,20,all,,
261,262,n tilak varma,India,20,all,,
262,263,k bhagath varma,India,20,all,20,1
263,264,stuart binny,India,50,all,,
264,265,hilton cartwright,Australia,75,all,,
265,266,james faulkner,Australia,75,all,,
266,267,akeal hosein,West Indies,50,all,,
267,268,parvez rasool,India,50,all,,
268,269,david wiese,South Africa,50,all,,
269,270,jack wildermuth,Australia,50,all,0,0
270,271,arshdeep brar,India,20,all,,
271,272,digvijay deshmukh,India,20,all,,
272,273,aakarshit gomel,India,20,all,,
273,274,arjit gupta,India,20,all,,
274,275,shubhang hegde,India,20,all,,
275,276,anirudha joshi,India,20,all,,
276,277,azim kazi,India,20,all,,
277,278,rahul singh,India,20,all,,
278,279,ajay t,India,20,all,,
279,280,harsh tyagi,India,20,all,0,0
280,281,nachiket bhute,India,20,all,,
281,282,josh clarkson,New Zealand,20,all,,
282,283,gerald coetzee,South Africa,20,all,0,0
283,284,tim david,Australia,20,all,0,0
284,285,deeparaj gaonkar,India,20,all,,
285,286,aaron hardie,Australia,20,all,,
286,287,marco jansen,South Africa,20,all,20,5
287,288,nathan mcandrew,Australia,20,all,,
288,289,m mohammed,India,20,all,,
289,290,govinda poddar,India,20,all,,
290,291,pratyush singh,India,20,all,0,0
291,292,jacques snyman,South Africa,20,all,,
292,1605,vaibhav pipara,Australia,500,all,900,6
293,293,mushfiqur rahim,Bangladesh,100,wkt,,
294,294,saurabh kumar,India,20,all,20,3
