,id,team_name,team_sname,purse_left,num_indian,num_foreign,total_players
0,1,Chennai Super Kings,CSK,255,17,8,25
1,2,Delhi Capitals,DC,215,17,8,25
2,3,Kings XI Punjab,KXIP,1880,17,8,25
3,4,Kolkata Knight Riders,KKR,320,17,8,25
4,5,Mumbai Indians,MI,365,17,8,25
5,6,Rajasthan Royals,RR,1365,16,8,24
6,7,Royal Challengers Bangalore,RCB,35,14,8,22
7,8,Sunrisers Hyderabad,SRH,695,17,8,25
